          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
 iJJH86JcxEt2E8rA2rEvtaRcy1ywczRqEW | unknown.VRSC@                                                          |           1 | 2023-10-28 11:01:02+01 | 2023-10-28 11:01:02+01
 iJmvDuPmoaCcZddm9mogmnm8CEdXKaiXW1 | unknown.VRSC@                                                          |           5 | 2023-05-18 13:25:31+01 | 2023-12-09 09:12:29+00
 iJNjwvu1KCKft66DLFbdiZQTq8dz84oTpB | unknown.VRSC@                                                          |          63 | 2020-06-19 15:03:25+01 | 2021-10-19 17:13:09+01
 iJnPjTPhGQXUn7wJBwSxLPTC8GLKak863b | sean.VRSC@                                                             |           1 | 2020-12-12 10:07:10+00 | 2020-12-12 10:07:10+00
 iJoHyLwB8r32avMWc2969AktJ7HQLsHrJo | unknown.VRSC@                                                          |         212 | 2021-10-14 08:04:21+01 | 2025-06-03 14:12:49+01
 iJpiGXhCHzgJo5UjryZVspkJfHWffY6C85 | paracosm.VRSC@                                                         |         894 | 2024-10-07 06:52:52+01 | 2025-10-12 05:59:24+01
 iJQ6aSCkfTkwzr4Ay2e4Xoz1RKpE92Qm5x | Gary.VRSC@                                                             |         419 | 2022-03-04 06:47:06+00 | 2024-10-17 04:30:19+01
 iJRFfsH5y4k7tABctt52w1cjGgYH69hQZC | mak3r.VRSC@                                                            |           2 | 2021-01-15 23:47:11+00 | 2021-05-04 01:06:19+01
 iJrmtwotZwnTLeCpafEexwEfBV47U2BJxU | unknown.VRSC@                                                          |          12 | 2021-03-13 00:55:39+00 | 2021-09-15 14:10:06+01
 iJSyTFY7hjmhse7hSo3AvpibeD8M56vRHa | unknown.VRSC@                                                          |           9 | 2022-02-18 22:35:38+00 | 2023-10-02 05:48:32+01
 iJuqDcbTo4fA99kL85getFQNydHqhVcyuL | frank.VRSC@                                                            |          16 | 2021-12-10 02:49:01+00 | 2024-03-01 14:07:24+00
 iJxHdcCArrBPM8ycsGhdnvrSFfxeS77hmM | Joram.VRSC@                                                            |         608 | 2023-01-19 06:07:25+00 | 2025-10-26 01:01:08+00
 iJXJXtEtv9WK7217h1PfUrc7TZ6eukQyXJ | vPIRATE.VRSC@                                                          |         776 | 2024-10-06 22:43:52+01 | 2025-10-12 03:01:26+01
 iJzpFJGeTjibk61bgYpoQwByMPdemspJCu | unknown.VRSC@                                                          |          11 | 2022-05-22 14:11:05+01 | 2024-07-29 01:03:50+01
 iK13a17nMQ6az7sncYmcYVnx15hugUBdTc | unknown.VRSC@                                                          |           3 | 2023-05-03 09:30:09+01 | 2023-10-19 18:32:17+01
 iK7tvGs33xtfJgE74f1BgRsRnALMkNhoQp | unknown.VRSC@                                                          |           1 | 2023-01-07 16:42:11+00 | 2023-01-07 16:42:11+00
 iK8Uzx2q5EzSrwpkahKSTq7TLuBSUTZnsH | Cape Town.VRSC@                                                        |        1896 | 2022-07-05 07:30:18+01 | 2025-10-24 08:16:40+01
 iK9iRNH3qJEAZjHXtFo1uHNcDtE2QfLAdz | unknown.VRSC@                                                          |           8 | 2022-04-16 06:12:40+01 | 2024-01-01 14:52:16+00
 iKAJk26Bs37o7roCcBrd46B2oFVJhe1UbU | Vladik.VRSC@                                                           |           4 | 2025-01-18 13:02:33+00 | 2025-03-11 05:13:43+00
 iKAtAQT83tXb3NiEjV9eMt1tm2qHuMhTKo | speak.VRSC@                                                            |        1645 | 2023-10-08 14:11:42+01 | 2025-10-26 15:49:00+00
 iKD79AqHSsbxf85KBvgiYREih2qcXYGJhh | Mason.VRSC@                                                            |         462 | 2020-06-21 00:36:53+01 | 2024-03-03 07:17:31+00
 iKdHeWWP6fPBk1KCpqdCnGHbv32hpgcRba | unwrap.VRSC@                                                           |         883 | 2024-10-06 23:53:32+01 | 2025-10-01 21:44:00+01
 iKgrwoi5WqXUNfFNVRuRyd24d7BVAwcU2p | unknown.VRSC@                                                          |           1 | 2023-06-29 22:33:30+01 | 2023-06-29 22:33:30+01
 iKhaBb6KuuSLktQSxnB7dnLbdE4WffbbQz | Time.VRSC@                                                             |          23 | 2021-09-01 08:41:45+01 | 2024-06-07 14:11:51+01
